Source,Access method,Data type,Description,Key data points,NARAD use
Open Government Data Platform India (data.gov.in),Official portal / API (API key for registered users),"Open datasets, CSV/XLS/XML/KML/RSS/Atom",Cross-sector government baseline and operational datasets published by ministries/states; licensed under Government Open Data License - India.,"dataset title, sector, department, granularity, frequency, geo coverage, indicators, timestamps, API URL, metadata, license","National baseline context, choropleths, district/state indicators"
Bhuvan / NRSC Geospatial Services,OGC WMS/WMTS / GeoServer endpoints,Geospatial layers / imagery-ready services,National remote sensing and thematic geospatial layers usable in GIS/web maps.,"layer name, workspace, bbox, CRS, geometry, raster/tile service URL, land use, flood hazard, water bodies, geomorphology, imagery references","GeoStrat 2D/3D map layers, overlays, spatial joins"
Press Information Bureau (PIB) RSS,RSS feeds,Official press releases and advisories,Union government press releases and ministry-level official announcements.,"headline, ministry, category, publish time, URL, summary/body, media assets","Government actions, official corroboration, ministry watch"
India Meteorological Department (IMD),Web pages / advisories / district warning products / CAP-linked warning dissemination,Weather warnings and forecasts,"District-wise and regional warning products, severe weather, fishermen advisories and forecast products.","district, state, warning color, hazard type, start/end time, forecast period, bulletin text, issue time","Weather/disaster alerts, district risk layers"
Central Water Commission (CWC) Flood Forecasting,Official portal / app / bulletins,"River levels, flood forecasts, reservoir status",Flood monitoring and forecasts across stations plus reservoir storage/level information.,"station name, river, state, water level, forecast level, severity, issue time, reservoir name, storage position","Flood risk, river basin alerts, reservoir dashboards"
MCA21,Official portal search / public documents workflow,Company registry and filings metadata,Corporate master data and public-document workflows for Indian companies/LLPs.,"CIN/LLPIN, company name, status, incorporation date, registered office, directors, filing type, filing date, document references","CorpWatch, ownership graph, filing timeline, entity resolution"
SEBI RSS,RSS feed,"Regulatory press releases, circulars, orders",Market regulator updates useful for compliance and enforcement tracking.,"title, category, publish time, URL, summary, circular/order identifier","LexPulse, compliance alerts, enforcement timeline"
BSE RSS,RSS feed,"Exchange notices, corporate announcements, Sensex updates",Real-time exchange updates and issuer announcements.,"symbol/company, announcement category, publish time, URL, notice text/summary",CorpWatch filings and market alerts
NSE RSS,RSS feed,"Corporate information, press releases, circulars, reports",Public newsfeed layer from NSE.,"feed type, company, circular/report title, publish time, URL",CorpWatch public update layer
NSE Corporate Data Subscription,SFTP / leased-line paid feed,Detailed corporate announcements and fundamentals,Paid data products for deeper issuer filings and end-of-day corporate announcement data.,"company fundamentals, corporate announcements, shareholding pattern, timestamps, technical product fields",Enterprise-grade CorpWatch backfill and alerting
Parliament Digital Library / Digital Sansad,Search portal / downloadable PDFs / metadata pages,"Debates, questions & answers, committee reports, budget speeches, bulletins",Official parliamentary document retrieval for legislative intelligence.,"house, session, date, member, ministry, question title, answer text, debate text, report title, PDF URL","LexPulse, policy tracking, ministry sentiment/context"
Gazette of India / eGazette,Official portal / PDF search,Statutory orders and notifications,Authorized legal publication of Government of India notifications.,"gazette part/section/subsection, ministry, notification number, publish date, PDF URL, title, legal text","Regulatory change tracking, legal source-of-record"
India Code / Legislative Department,Web portal / references,"Acts, ordinances, legislative references",Official legal text and legislative reference material.,"act title, year, section text, amendment status, ordinance text, reference download URL","Regulatory corpus, cited legal answers"
PARIVESH,Official workflow portal,Environment/forest/wildlife/CRZ clearances,Single-window workflow and status tracking for regulatory clearances.,"proposal ID, project name, sector, state/district, clearance type, status, submission date, stage, documents, GIS/proximity context","Environmental compliance, project intelligence, industrial risk"
DoLR ULPIN / DILRMP / NGDRS ecosystem,Departmental portals / state connectors,"Land parcel IDs, registration workflow, land records metadata",Federated land records stack with parcel identifiers and registration systems.,"ULPIN, parcel coordinates, registration office, deed metadata, plot identifiers, state/district/tehsil links","Land intelligence, parcel overlays, acquisition/land-risk analysis"
